archivo,dia,total_on,total_off,total_nocturnal,avg_ambient,std_ambient
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,0,302,373,765,14.991677777777777,1.4518108527803446
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,1,251,403,786,14.515494444444442,1.9538790693439194
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,3,428,295,717,15.042068749999999,0.9790893956171581
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,4,428,250,762,12.982695833333334,1.235761706670861
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,5,442,231,767,13.744197222222223,0.7997909334137734
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,6,426,243,771,13.07807361111111,0.6184733587480095
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,7,464,213,763,13.0440375,1.106037700083616
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,8,445,257,738,13.033472916666668,1.4800610229478997
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,9,445,274,721,10.958362500000002,0.8422282892167975
Myioborus_melanocephalus_TU1a_DOR08_NEST_processed,10,438,246,756,10.971847222222221,1.1941532356592697
Myioborus_melanocephalus_W1a_JAB08_EGG_processed,0,409,308,723,12.584557638888889,2.224087020287729
Myioborus_melanocephalus_W1a_JAB08_EGG_processed,1,521,352,567,13.69075486111111,2.1231296785671123
Myioborus_melanocephalus_W1a_JAB08_EGG_processed_soloegg,0,392,325,723,12.584557638888889,2.224087020287729
Myioborus_melanocephalus_W1a_JAB08_EGG_processed_soloegg,1,434,399,607,13.69075486111111,2.1231296785671123
Myioborus_melanocephalus_W1a_wjm08_processed,0,550,186,704,12.824549999999999,1.3466132780569682
Myioborus_melanocephalus_W1a_wjm08_processed,1,525,180,735,12.82889375,2.5617641824952586
Myioborus_melanocephalus_W1a_wjm08_processed,2,470,256,714,12.281839583333332,0.9911744523329059
Myioborus_melanocephalus_W1a_wjm08_processed,3,556,185,699,12.184697222222223,1.4497176495337374
Myioborus_melanocephalus_W1a_wjm08_processed,4,526,185,729,11.787950694444445,1.6263484500861132
Myioborus_melanocephalus_W1a_wjm08_processed,5,521,222,697,12.178664583333335,1.5932641249713133
Myioborus_melanocephalus_W1a_wjm08_processed,6,461,273,706,12.858209722222222,1.266818841912169
Myioborus_melanocephalus_W1a_wjm08_processed,7,453,284,703,13.299943055555554,2.3576325081138467
Myioborus_melanocephalus_W1a_wjm08_processed_soloegg,0,487,196,757,12.824549999999999,1.3466132780569682
Myioborus_melanocephalus_W1a_wjm08_processed_soloegg,1,512,195,733,12.82889375,2.5617641824952586
Myioborus_melanocephalus_W1a_wjm08_processed_soloegg,2,434,257,749,12.281839583333332,0.9911744523329059
